backend,precision,matrix_size,n,lat_ms_median,lat_ms_mean,lat_ms_std,lat_ms_cv,lat_ms_min,lat_ms_max,gflops_median,gflops_mean,matmuls_per_sec_median,memory_mb,speedup_vs_cpu
cuda,float32,1024,100,0.3152399999635236,0.31596652996086044,0.0020687033100520663,0.006547222929936034,0.3142019995721057,0.324139000440482,6812.218151246123,6796.837808421537,3172.1862711448734,20.125,
cuda,float32,2048,50,2.2856825003145786,2.2721300400917244,0.02385790301500434,0.010500236603553384,2.222905000053288,2.2910870002306183,7516.297309667415,7561.957654014645,437.5060840087676,56.125,
cuda,float32,4096,30,18.07405599993217,18.050082833209064,0.09102329378500452,0.005042818618955988,17.843795999397116,18.16673099983745,7604.21201449521,7614.499376790269,55.327924180590834,200.125,
cuda,float32,8192,10,116.54334700006075,116.9951519001188,1.824833266058267,0.015597511832081428,114.64318999969692,120.09820399998716,9434.532468753307,9399.960246124549,8.580498378851937,776.125,
