backend,model,batch_size,sequence_length,params,status,error_type,memory_mb,step_ms,tokens_per_s
cuda,small,8.0,256.0,4273664.0,ok,,325.44677734375,15.291579999939133,133929.91437170992
cuda,small,16.0,256.0,4273664.0,ok,,585.72802734375,25.931918999958725,157952.05900521745
cuda,small,32.0,256.0,4273664.0,ok,,1106.29052734375,48.63834900015718,168426.76958408943
cuda,small,64.0,256.0,4273664.0,ok,,2147.41552734375,92.44968950042676,177220.71419098027
cuda,small,128.0,256.0,4273664.0,ok,,4229.666015625,177.07384999948772,185052.7336481067
cuda,small,256.0,256.0,4273664.0,ok,,8394.1669921875,354.76046050007426,184733.10105534235
cuda,small,512.0,256.0,4273664.0,oom,OutOfMemoryError,,,
cuda,small,8.0,128.0,4240896.0,ok,,196.68017578125,8.602115000030608,119040.49178560812
cuda,small,8.0,256.0,4273664.0,ok,,325.44677734375,15.459224499409174,132477.53793072034
cuda,small,8.0,512.0,4339200.0,ok,,586.47998046875,29.75332249980056,137665.29771683333
cuda,small,8.0,1024.0,4470272.0,ok,,1108.54638671875,66.07217249984387,123985.63101613402
cuda,small,8.0,2048.0,4732416.0,ok,,2152.67919921875,172.3948749995543,95037.62800397842
cuda,small,8.0,4096.0,5256704.0,ok,,4240.94482421875,510.2662545000385,64217.4545367619
cuda,tiny,8.0,256.0,953856.0,ok,,190.32763671875,5.169912499695784,396138.23253691656
cuda,small,8.0,256.0,4273664.0,ok,,325.44677734375,15.44154349994642,132629.2284192384
cuda,medium,8.0,256.0,27448320.0,ok,,984.16357421875,70.87799199962319,28894.72376715875
cuda,large,8.0,256.0,88398336.0,ok,,2322.43505859375,204.73174449989529,10003.333899209008
cuda,xl,8.0,256.0,205998080.0,ok,,4568.26123046875,450.5087695001748,4545.9714408494
