backend,batch_size,epoch_s_median,epoch_s_mean,epoch_s_std,epoch_s_cv,n,images_per_s_median,images_per_s_mean,images_per_s_std,images_per_s_cv,final_train_loss,final_val_acc,memory_mb,speedup_vs_cpu
mps,16,7.407489663957676,7.500328770288131,0.1695845360728446,0.02261028033126205,3,552.9538596496113,546.2931902549723,12.193324332001895,0.022320110426986808,0.781609361176379,0.751,1319.09375,
mps,32,6.362347704925924,6.420400690980993,0.18400528642443825,0.028659470846253914,3,643.7875120890913,638.3117637610021,18.076361523638766,0.02831901674055149,0.8013594751246274,0.743,1404.09375,
mps,64,5.599181923018477,5.633997876320791,0.0737819784143632,0.013095847750398081,3,731.5354379112363,727.0973663085588,9.45391223644903,0.013002264448358718,0.6969476421363652,0.776,1172.09375,
mps,128,5.488241956998536,5.501821177992194,0.02634903490652675,0.004789147821075208,3,746.3227809730279,744.4921107080605,3.555816173730152,0.004776163672638974,0.6810155641287565,0.711,1290.09375,
