precision,matrix_size,cuda · NVIDIA GeForce RTX 3060,mps · Apple M1 Pro (16-core GPU)
float32,1024,6812.218151246123,2823.390701062275
float32,2048,7516.297309667415,4040.14361706498
float32,4096,7604.21201449521,4054.8053934807267
float32,8192,9434.532468753307,4059.1647540398417
