batch_size,sequence_length,mps · Apple M1 Pro (16-core GPU)
8,128,0.4112430280913169
8,256,0.40949790863250085
8,512,0.3755550956010018
16,128,0.40907448633615767
16,256,0.4011262030953892
16,512,0.3963303955890242
32,128,0.3928732863225701
32,256,0.40441343372728145
32,512,0.37861186344822295
