batch_size,cuda · NVIDIA GeForce RTX 3060,mps · Apple M1 Pro (16-core GPU)
16,959.206592041396,552.9538596496113
32,1231.0859672144495,643.7875120890913
64,1468.299705633163,731.5354379112363
128,1584.847335297566,746.3227809730279
