workload,precision,cuda · NVIDIA GeForce RTX 3060,mps · Apple M1 Pro (16-core GPU)
matmul_pure_dtype,bf16,23941.38661487,2228.6148027701975
matmul_pure_dtype,fp16,23998.395231205395,4653.0720853521925
matmul_pure_dtype,fp32,7599.409088073112,4011.7326988852014
training_autocast,bf16,291882.18385450996,43090.93622502346
training_autocast,fp16,283007.69888749305,47914.126391390586
training_autocast,fp32,158684.11455493807,60143.388790214565
