batch_size,sequence_length,cuda · NVIDIA GeForce RTX 3060,mps · Apple M1 Pro (16-core GPU)
8,128,121353.50299725065,49905.782042078055
8,256,134980.49553948332,55274.230629597034
8,512,141402.31407750762,53104.35958158126
16,128,143655.18411912076,58765.67065305548
16,256,149716.84352995036,60055.348984595475
16,512,138308.84204974983,54815.998083037215
32,128,164162.0794595035,64494.895646802026
32,256,154633.37329468358,62535.81346293549
32,512,143957.52375458696,54504.02632611599
